simulation,sample_comp_mean,sample_comp_std,correctness
136,213080.352941,167265.60389,97.79412
137,212609.364964,166744.51623,97.81022
138,212587.855072,166139.46174,97.82609
139,211869.071942,165755.96667,97.84173
140,211384.685714,165261.6222,97.85714
141,211078.503546,164714.39076,97.87234
142,212295.422535,164768.24356,97.88732
143,212946.51049,164374.32866,97.9021
144,213045.208333,163806.84215,97.91667
145,213781.17931,163479.74379,97.93103
146,216662.945205,166573.52047,97.94521
147,216954.183673,166043.27177,97.95918
148,218336.108108,166327.41793,97.97297
149,219051.241611,165996.4748,97.98658
150,219326.706667,165476.39424,98.0
151,219954.668874,165106.7742,98.01325
152,220158.447368,164581.81411,98.02632
153,219181.104575,164485.02492,98.03922
154,223525.077922,172530.47697,98.05195
155,222620.393548,172339.09517,98.06452
156,221717.051282,172153.58967,98.07692
157,220561.420382,172210.40605,98.08917
158,219286.911392,172405.77616,98.10127
159,218818.157233,171963.73813,98.11321
160,218759.3625,171427.11227,98.125
161,218295.881988,170994.43136,98.13665
162,217860.666667,170555.27756,98.14815
163,216727.613497,170641.78588,98.15951
164,215986.817073,170383.44276,98.17073
165,218134.50303,172078.56941,98.18182
166,219643.168675,172650.53203,98.19277
167,219880.952096,172160.0992,98.20359
168,220460.428571,171810.22663,98.21429
169,223885.16568,176959.1175,98.22485
170,223902.694118,176438.029,98.23529
171,223798.929825,175926.57411,98.24561
172,223977.104651,175429.88714,98.25581
173,224384.364162,175003.65531,98.2659
174,224033.287356,174561.13363,98.27586
175,223325.297143,174312.02922,98.28571
176,222631.579545,174058.21153,98.29545
177,225920.152542,178965.03865,98.30508
178,226692.764045,178757.39454,98.31461
179,226012.396648,178488.33897,98.32402
180,225254.511111,178280.43547,98.33333
181,224390.348066,178164.90097,98.34254
182,224635.428571,177705.35442,98.35165
183,223892.825137,177502.09798,98.36066
184,222990.130435,177439.79284,98.36957
185,222384.178378,177150.36628,98.37838
186,221968.333333,176764.02915,98.3871
187,221554.208556,176381.21364,98.39572
188,222065.180851,176050.20978,98.40426
189,221312.375661,175886.98417,98.4127
190,223089.621053,177116.86694,98.42105
191,225955.34555,181015.17426,98.42932
192,225243.416667,180811.06564,98.4375
193,225052.336788,180361.46968,98.4456
194,224527.268041,180043.84897,98.45361
195,223532.630769,180115.17866,98.46154
196,223595.55102,179657.26213,98.46939
197,225496.350254,181165.79686,98.47716
198,226944.717172,181847.58217,98.48485
199,227241.291457,181438.10213,98.49246
200,227068.25,181000.39974,98.5
201,228614.323383,181868.69582,98.50746
202,227884.346535,181712.91905,98.51485
203,228501.472906,181476.8789,98.52217
204,229158.676471,181273.53958,98.52941
205,228278.892683,181266.93847,98.53659
206,229244.31068,181353.98013,98.54369
207,228796.323671,181029.62021,98.55072
208,228598.480769,180616.35968,98.55769
209,228492.425837,180190.23692,98.56459
210,228340.32381,179774.14913,98.57143
211,228188.061611,179361.21064,98.5782
212,227658.320755,179103.06659,98.58491
213,229208.117371,180101.37228,98.59155
214,228975.233645,179712.22514,98.59813
215,228209.204651,179643.65547,98.60465
216,227245.722222,179783.25958,98.61111
217,227567.654378,179430.92635,98.61751
218,228966.577982,180201.10427,98.62385
219,230447.840183,181114.5605,98.63014
220,229751.427273,180996.11831,98.63636
221,229080.475113,180860.16775,98.64253
222,228956.459459,180461.7829,98.64865
223,228158.928251,180448.39043,98.65471
224,227387.080357,180413.71703,98.66071
225,227242.831111,180025.29695,98.66667
226,226326.575221,180151.59589,98.67257
227,226679.185022,179832.49183,98.67841
228,226232.684211,179563.74805,98.68421
229,226415.034934,179192.41414,98.68996
230,226956.434783,178990.04439,98.69565
231,228190.714286,179580.4509,98.7013
232,228877.137931,179496.44961,98.7069
233,228636.60515,179148.31608,98.71245
234,228407.213675,178799.39979,98.71795
235,228451.110638,178419.83358,98.7234
236,228632.559322,178063.15108,98.72881
237,228061.177215,177903.77125,98.73418
238,228072.991597,177529.72358,98.7395
239,228409.619247,177234.03458,98.74477
240,227959.975,177000.96353,98.75
241,227336.93361,176896.88285,98.75519
242,226629.157025,176872.63123,98.76033
243,226708.152263,176512.59834,98.76543
244,226096.967213,176407.98721,98.77049
245,226385.506122,176105.28839,98.77551
246,226810.934959,175873.09536,98.78049
247,226192.692308,175784.36975,98.78543
248,226054.862903,175442.98087,98.79032
249,227366.365462,176304.26478,98.79518
250,227066.208,176015.04065,98.8
251,226305.039841,176075.85674,98.80478
252,226396.261905,175732.09552,98.80952
253,225626.16996,175809.99275,98.81423
254,224854.574803,175892.26765,98.8189
255,225202.34902,175634.51964,98.82353
256,224978.640625,175327.54516,98.82813
257,224421.062257,175213.37549,98.83268
258,224107.302326,174945.80933,98.83721
259,224654.737452,174829.01636,98.8417
260,223946.546154,174864.30197,98.46154
261,223341.130268,174801.79124,98.46743
262,222965.549618,174573.36113,98.47328
263,222491.768061,174409.83772,98.47909
264,221898.227273,174345.12108,98.10606
265,222495.218868,174285.99442,98.11321
266,222205.736842,174021.89746,98.1203
267,221929.509363,173754.1229,98.12734
268,221328.5,173707.47766,98.13433
269,221810.472119,173563.73858,98.14126
270,221583.866667,173281.88816,98.14815
271,221084.756458,173156.21105,98.15498
272,222386.397059,174160.81142,98.16176
273,221753.542125,174154.58509,98.1685
274,222934.934307,174928.98394,98.17518
275,223020.52,174616.38863,98.18182
276,222962.072464,174302.46239,98.18841
277,223465.064982,174188.10764,98.19495
278,223262.81295,173907.11802,98.20144
279,223544.333333,173658.62468,98.20789
280,223192.528571,173447.81376,98.21429
281,222881.604982,173217.06515,98.22064
282,222335.964539,173151.42004,98.22695
283,222514.448763,172871.21344,98.23322
284,223603.612676,173536.58449,98.23944
285,225519.449123,176214.87337,98.24561
286,225880.979021,176012.38561,98.25175
287,226032.749129,175724.22188,98.25784
288,226287.645833,175472.02186,98.26389
289,226418.031142,175182.14883,98.2699
290,225833.668966,175161.78049,98.27586
