simulation,sample_comp_mean,sample_comp_std,correctness
138,14819.057971,268.98857,100.0
139,14814.028777,274.45349,100.0
140,14816.6285714,275.1839,100.0
141,14818.1702128,274.81238,100.0
142,14819.2676056,274.15288,100.0
143,14817.1188811,274.38991,100.0
144,14817.2361111,273.43911,100.0
145,14817.4758621,272.50977,100.0
146,14817.890411,271.62079,100.0
147,14816.2993197,271.37717,100.0
148,14813.7972973,272.15474,100.0
149,14813.3288591,271.29979,100.0
150,14814.5333333,270.79337,100.0
151,14815.1788079,270.01097,100.0
152,14816.9342105,269.9844,100.0
153,14818.6666667,269.94698,100.0
154,14820.8701299,270.44599,100.0
155,14819.9741935,269.80136,100.0
156,14817.0384615,271.40749,100.0
157,14819.0700637,271.72912,100.0
158,14816.9873418,272.12206,100.0
159,14816.2264151,271.43356,100.0
160,14816.5625,270.61718,100.0
161,14817.4658385,270.01732,100.0
162,14818.5555556,269.53753,100.0
163,14819.8527607,269.21623,100.0
164,14819.3414634,268.47356,100.0
165,14820.7151515,268.23626,100.0
166,14820.9156627,267.4395,100.0
167,14820.491018,266.6937,100.0
168,14821.1666667,266.0421,100.0
169,14820.7810651,265.30091,100.0
170,14820.9294118,264.52649,100.0
171,14819.625731,264.29905,100.0
172,14819.627907,263.52962,100.0
173,14814.8901734,270.01326,100.0
174,14816.0,269.63168,100.0
175,14815.5542857,268.92447,100.0
176,14816.5795455,268.50217,100.0
177,14815.9548023,267.87086,100.0
178,14817.2247191,267.65113,100.0
179,14819.8994413,269.27748,100.0
180,14817.5555556,270.35331,100.0
181,14816.640884,269.88458,100.0
182,14817.4065934,269.3392,100.0
183,14818.8961749,269.35297,100.0
184,14820.1413043,269.14761,100.0
185,14818.1405405,269.78775,100.0
186,14818.9784946,269.30282,100.0
187,14818.5026738,268.66018,100.0
188,14819.1382979,268.08565,100.0
189,14820.2010582,267.77228,100.0
190,14823.4421053,270.75809,100.0
191,14824.8376963,270.73267,100.0
192,14823.2708333,270.8936,100.0
193,14823.8963731,270.32989,100.0
194,14823.443299,269.70572,100.0
195,14823.1076923,269.05389,100.0
196,14822.0918367,268.74131,100.0
197,14824.3553299,269.92493,100.0
198,14823.7474747,269.37758,100.0
199,14820.6130653,272.29559,100.0
200,14820.35,271.63935,100.0
201,14823.1442786,273.8292,100.0
202,14824.0594059,273.45852,100.0
203,14823.3793103,272.95534,100.0
204,14824.0490196,272.45265,100.0
205,14823.3658537,271.96242,100.0
206,14824.1456311,271.53115,100.0
207,14823.1400966,271.25868,100.0
208,14823.4423077,270.64076,100.0
209,14822.2966507,270.49762,100.0
210,14823.8380952,270.77137,100.0
211,14822.4170616,270.91276,100.0
212,14820.9528302,271.10866,100.0
213,14821.4366197,270.56321,100.0
214,14820.8504673,270.06584,100.0
