,hippocampus_pilocarpine_vehicle_rep1,hippocampus_pilocarpine_vehicle_rep2,hippocampus_pilocarpine_vehicle_rep3,hippocampus_pilocarpine_vehicle_rep4,hippocampus_pilocarpine_vehicle_rep5,hippocampus_pilocarpine_vehicle_rep6,hippocampus_pilocarpine_vehicle_rep7,hippocampus_pilocarpine_vehicle_rep8,hippocampus_pilocarpine_vehicle_rep9,hippocampus_pilocarpine_vehicle_rep10,hippocampus_pilocarpine_vehicle_rep11,hippocampus_pilocarpine_vehicle_rep12,hippocampus_pilocarpine_vehicle_rep13,hippocampus_pilocarpine_vehicle_rep14,hippocampus_pilocarpine_vehicle_rep15,hippocampus_pilocarpine_vehicle_rep16,hippocampus_pilocarpine_vehicle_rep17
STYXL1,6.9022203905142865,6.952707162399999,7.061537570914285,6.9911256476285715,7.07730285,7.0239601704000005,7.07730285,6.898888156342858,7.033488300085714,6.937268992999999,7.085298018999999,7.030635881914287,7.066469681657142,6.967690706,6.976584619971428,7.014288031000001,6.968118317257143
LRRC41,8.436809644999999,8.218333140000002,8.309667124999999,8.428998644999998,8.372303006,8.458782856000003,8.161450100000001,8.395428333999998,8.391062910000002,8.280120583999999,8.324692920000002,8.379649388999999,8.419444562000002,8.385934753,8.480778358657144,8.381259507,8.378454004999998
MED1,6.9457641904,7.030635881914287,7.036385088028571,6.998779322,7.141708118999999,7.022178623828572,7.057160544771429,7.000280535799999,6.910472681942857,6.891417897914286,6.9273013204285725,6.9235988554571435,7.0315887963714285,6.907200712742857,6.960951019485715,7.040295931999999,6.978208603342858
NXNL1,6.8552266891714275,6.900976687257142,6.8999217488,6.864713619714284,6.850826412400001,6.843605327714286,6.899421130885717,6.7933401225428565,6.849592771171428,6.840589025028573,6.842365531457143,6.805730241885715,6.807005132257142,6.7729361322,6.819965338542857,6.8776059108,6.91625134
DRAXIN,6.91991607,6.8938697696,6.8563619240571425,6.840338508971429,6.806436377057143,6.866335486342857,6.883430221,6.759096840028572,6.8971591432,6.811956028514285,6.855646308771428,6.891331242285716,6.853466628457143,6.861941388571429,6.784095916885714,6.884033448314287,6.773893770028571
TENT2,7.176977077742857,7.112738557028573,7.150174217999998,7.253704479971429,7.276904627428571,7.2559515039999996,7.128972347999999,7.107126763171428,7.2091068310000015,7.211767677999999,7.131005042999998,7.00761895777143,7.063379328999999,7.0849023748,7.173474993,6.974596879828571,7.059903766
INIP,6.854462423428573,6.899856515142856,6.807969819314286,6.913743782971428,6.896173167342857,6.919967338457141,6.729113872828573,6.839348166771429,6.818127922,6.876524029,6.762881716828571,6.875607057371429,6.931127634000001,6.897948124485715,6.896344323599999,6.835013082371429,6.938015744971429
RRNAD1,7.048460148142857,7.089643731514287,7.070211222999999,7.129829833542857,7.0742693416,7.075334641085713,7.086558480000001,7.029354635999999,7.022366177000001,7.067430167,7.042795386628572,7.1203085419428565,7.110812256,7.070041936,7.154659127,7.0034462724571425,6.978787325828572
FV1,6.971584619999999,7.084583796514287,7.185686839,7.164029330999999,7.0325768019999995,7.088331445657143,7.161809651,7.1374257694857155,6.9189014276857135,7.048944514999999,7.158407954,7.070523473000001,7.067019046000001,7.042938829171428,6.9777663775142855,7.0231843281142865,7.096527094000001
IL17A,6.909442478571429,6.964669650485713,6.9173159423142865,6.968589820742857,6.824279251857144,6.842329107657144,6.967144387828571,6.9006141362,6.916442168142857,6.928787574,6.921467735057142,6.834451613,6.926207699,6.938751062,6.929759569999999,6.883430221,6.931927776314287
