,Epilepsy
PXMP2,0
VMN1R212,0
SGTB,1
MORN2,1
ZFP410,0
A4GNT,1
CRLS1,1
HOXD4,0
TRERF1,1
DRAM1,1
GLIS1,0
GK,1
SIX4,0
LTK,1
IL15,1
TSPAN33,1
TMEM8,0
4930474N05RIK,0
DGAT2,1
2310011J03RIK,0
NSUN5,0
ELMOD2,0
EML5,1
SLITRK2,1
IL10RA,0
APPL2,0
SESN2,0
MATN1,0
CNGA1,0
VMN1R81,1
ACBD5,1
PRL7A2,0
PAOX,0
LIN28A,0
JUNB,0
KIF4,0
DIRAS1,0
TUT7,0
CABLES2,1
YIPF7,0
NME7,1
BRF1,1
YWHAE,0
GPR183,1
TRIM36,0
CCL22,1
GPR156,1
2310057J18RIK,1
RUNX2,1
YBEY,0
TUB,1
OBOX6,1
CAPZB,1
TEK,1
PDIK1L,1
RYR1,0
PPP1CCB,0
SLC26A4,1
LHFP,0
TUBA3A,1
PRMT7,0
JAZF1,1
SERPINA1E,0
CTSG,1
PITX2,0
ODF2,0
TSPAN8,0
CPSF7,0
CLCN3,0
NRG4,1
AKAP10,1
SEMA6C,1
OLFR1087,1
TAS1R1,0
PSMD7,0
EIF6,0
KCTD12B,1
PUM3,1
MGAT5,1
RNF138,0
GTPBP1,0
ZC4H2,1
COL19A1,0
NEURL3,0
HDAC3,1
PECR,1
UNC13B,1
NDUFA12,1
HBS1L,0
TICAM1,1
ARMCX2,1
CETN2,0
TOE1,0
PHYKPL,0
HCST,0
NT5DC1,1
VMN1R64,1
CCDC28B,0
PPIL3,0
CAMK1D,0
ANKS1,0
ARPC1A,0
HEPH,1
TRP53I11,0
VMN1R203,0
FAF1,1
PRKAR2B,0
MAGEE1,1
ITGB2L,0
PYGM,1
AMOT,0
WNT3A,0
ACSM5,0
S100A16,0
SMC1A,1
STYXL1,1
LRRC41,1
MED1,0
NXNL1,0
DRAXIN,1
TENT2,0
INIP,0
RRNAD1,0
FV1,1
IL17A,1
IFNA9,1
IL15RA,0
LTB4R1,1
NCMAP,1
HR,0
HNRNPA3,1
TMEM63B,1
PSMC5,1
TM9SF4,1
WDR66,0
ORC2,1
NCKAP1,1
LHX5,1
ZFP689,1
FHDC1,1
NOTCH4,1
IRGQ,1
GLMN,0
FAM189A1,1
PAPOLA,0
SATB1,0
COL25A1,1
RNF112,1
PSG18,1
MPV17L,0
RNASE1,0
9130008F23RIK,0
LMAN2L,1
VWA5B2,1
CRAT,0
CDK14,0
RBM4B,1
TANK,0
OLFR736,0
SYT5,1
TMIGD1,0
TTC4,1
NTN3,1
LCE1I,1
CAMTA2,0
FBXW18,1
CCDC85B,0
NPPC,0
DLGAP4,0
SPINK8,0
NEMP2,1
FKBP2,1
SLC25A41,1
NBR1,1
ZFP281,0
VMN1R84,0
NRK,1
PTPN22,0
MIOS,1
UBQLNL,0
PTPN6,0
PRKD3,0
ZC2HC1A,0
HERC3,1
ERI2,0
GPR141B,1
TIGD5,0
PRKCZ,0
PSAT1,0
PPARG,1
NME1,0
D130040H23RIK,0
2610528J11RIK,1
ARL5A,1
GNMT,1
OLFR616,1
GPR35,0
RHBDF2,1
TSTA3,1
CNN1,1
OLFR151,1
KRT8,1
ZFP57,0
FGF12,1
CTU2,0
CDKN2A,1
PDLIM2,0
CABS1,1
TRPC4,1
SPATA3,1
PPM1F,0
SLC30A5,1
LYRM4,0
LRIF1,0
LANCL3,0
PARP11,1
RHOBTB3,1
TMEM198B,0
MEF2A,1
LDLR,0
JCHAIN,1
CRYZL2,0
1810009A15RIK,0
KLF4,1
CELF1,1
MED25,0
XIAP,0
RAB32,0
PNKD,0
IL20RB,0
PAPOLB,0
LGALS8,0
RDH5,1
TUBA8,0
TTYH3,0
PEG12,0
PSMB7,0
ORC5,1
CYP4F39,0
PRPS1L1,1
RPL27A,0
CRK,0
ZFP112,0
OLFR705,0
GPR12,0
AASDH,1
CLSTN2,0
TTLL5,1
MLLT11,1
ANKRD17,1
TNFRSF23,0
TAS2R139,1
GUF1,0
NUMBL,1
ICOS,0
HCN3,1
LTBP1,1
CDCA7,0
TRUB2,0
SEC11C,0
ADAM21,1
PITPNA,1
FREM1,0
NTS,0
MAD2L1BP,0
NKX2-2,0
IL18RAP,1
SLC35B3,0
NDST1,0
GABRP,0
ANKK1,1
BRCA1,1
FPR3,1
MAK,1
SCP2,1
ELANE,1
PLAA,1
ABCA7,1
FABP9,0
KIF18B,1
BSCL2,1
GNB2,1
SAMHD1,0
CRYGC,1
CTLA2A,1
